Id,School Code,School Name,Year,Enrolment
250,321,Queen Charlotte Intermediate School,2002,550
251,233,Queen Elizabeth Elementary School,2002,387
252,449,Rollo Bay Consolidated School,2002,125
253,349,Sherwood Elementary School,2002,548
254,234,Somerset Elementary School,2002,197
255,450,Souris Consolidated School,2002,242
256,412,Souris Regional High School,2002,348
257,451,Southern Kings Consolidated School,2002,325
258,351,Spring Park Elementary School,2002,471
259,354,St. Jean Elementary School,2002,205
260,135,St. Louis Elementary School,2002,165
261,452,St. Peter’s Consolidated School,2002,98
262,453,St. Teresa’s Consolidated School,2002,66
263,323,Stonepark Intermediate School,2002,814
264,220,Summerside Intermediate School,2002,622
265,215,Three Oaks Senior High School,2002,924
266,130,Tignish Elementary School,2002,273
267,454,Tracadie Cross Consolidated School,2002,127
268,455,Vernon River Consolidated School,2002,245
269,355,West Kent Elementary School,2002,121
270,356,West Royalty Elementary School,2002,436
271,113,Westisle Composite High School,2002,742
272,350,Westwood Primary School,2002,416
273,131,Alberton Elementary School,2003,225
274,231,Amherst Cove Consolidated School,2003,190
275,221,Athena Consolidated School,2003,421
276,440,Belfast Consolidated School,2003,251
277,320,Birchwood Intermediate School,2003,460
278,132,Bloomfield Elementary School,2003,206
279,314,Bluefield High School,2003,831
280,441,Cardigan Consolidated School,2003,191
281,341,Central Queens Elementary School,2003,230
282,310,Charlottetown Rural High School,2003,1035
283,311,Colonel Gray Senior High School,2003,918
284,344,Donagh Regional School,2003,161
285,442,Dundas Consolidated School,2003,74
286,324,East Wiltshire Intermediate School,2003,609
287,443,Eastern Kings Consolidated School,2003,77
288,510,École Évangéline,2003,348
289,511,École François-Buote,2003,205
290,515,École La-Belle-Cloche,2003,13
291,514,École Pierre-Chiasson,2003,40
292,512,École St-Augustin,2003,24
293,513,École-sur-Mer,2003,36
294,342,Eliot River Elementary School,2003,434
295,134,Ellerslie Elementary School,2003,179
296,232,Elm Street Elementary School,2003,467
297,345,Englewood School,2003,235
298,444,Fortune Consolidated School,2003,91
299,445,Georgetown Elementary School,2003,96
300,340,Glen Stewart Elementary School,2003,659
301,357,Grand Tracadie Elementary School,2003,48
302,237,Greenfield Elementary School,2003,413
303,348,Gulf Shore Consolidated School,2003,323
304,122,Hernewood Intermediate School,2003,411
305,211,Kensington Intermediate Senior High School,2003,484
306,212,Kinkora Regional High School,2003,191
307,343,L.M. Montgomery Elementary School,2003,357
308,123,M.E. Callaghan Intermediate School,2003,325
309,222,Miscouche Consolidated School,2003,257
310,446,Montague Consolidated School,2003,426
311,420,Montague Intermediate School,2003,315
312,410,Montague Regional High School,2003,740
313,447,Morell Consolidated School,2003,213
314,411,Morell Regional High School,2003,345
315,448,Mount Stewart Consolidated School,2003,90
316,133,O'Leary Elementary School,2003,214
317,346,Parkdale Elementary School,2003,134
318,236,Parkside Elementary School,2003,236
319,347,Prince Street Elementary School,2003,314
320,321,Queen Charlotte Intermediate School,2003,580
321,233,Queen Elizabeth Elementary School,2003,405
322,449,Rollo Bay Consolidated School,2003,112
323,349,Sherwood Elementary School,2003,549
324,234,Somerset Elementary School,2003,194
325,450,Souris Consolidated School,2003,224
326,412,Souris Regional High School,2003,336
327,451,Southern Kings Consolidated School,2003,314
328,351,Spring Park Elementary School,2003,446
329,354,St. Jean Elementary School,2003,183
330,135,St. Louis Elementary School,2003,160
331,452,St. Peter’s Consolidated School,2003,96
332,453,St. Teresa’s Consolidated School,2003,63
333,323,Stonepark Intermediate School,2003,819
334,220,Summerside Intermediate School,2003,644
335,215,Three Oaks Senior High School,2003,917
336,130,Tignish Elementary School,2003,268
337,454,Tracadie Cross Consolidated School,2003,105
338,455,Vernon River Consolidated School,2003,231
339,355,West Kent Elementary School,2003,135
340,356,West Royalty Elementary School,2003,431
